timestamp,endpoint,method,status_code,response_time_ms,user_id,ip_address
2024-01-01 00:08:13,/api/search,POST,200,35.81,440,192.168.60.180
2024-01-01 00:25:59,/api/orders,GET,200,28.38,505,192.168.53.184
2024-01-01 00:44:53,/api/products,POST,404,260.82,94,192.168.193.7
2024-01-01 01:07:50,/api/orders,PUT,404,222.2,715,192.168.116.22
2024-01-01 01:13:49,/api/search,GET,200,114.97,780,192.168.202.120
2024-01-01 01:22:31,/api/search,GET,201,83.68,918,192.168.255.197
2024-01-01 01:22:59,/health,PUT,201,79.18,430,192.168.153.220
2024-01-01 01:27:08,/logout,POST,200,23.63,249,192.168.248.36
2024-01-01 01:30:58,/health,GET,200,146.86,414,192.168.254.17
2024-01-01 02:20:54,/logout,DELETE,200,226.56,543,192.168.35.248
2024-01-01 02:25:11,/logout,PUT,401,127.89,192,192.168.114.48
2024-01-01 02:26:40,/api/users,GET,200,69.07,283,192.168.116.37
2024-01-01 02:56:17,/logout,GET,400,58.38,321,192.168.99.29
2024-01-01 02:59:13,/api/users,GET,200,162.17,250,192.168.27.250
2024-01-01 03:03:50,/api/orders,GET,200,186.32,202,192.168.241.11
2024-01-01 03:08:28,/api/orders,DELETE,200,26.02,216,192.168.230.73
2024-01-01 03:18:11,/api/search,POST,200,327.46,518,192.168.212.224
2024-01-01 03:22:51,/api/products,GET,200,6.07,881,192.168.164.181
2024-01-01 03:28:45,/logout,GET,404,34.23,642,192.168.36.241
2024-01-01 03:31:50,/api/users,POST,200,37.42,77,192.168.87.112
2024-01-01 03:44:43,/api/orders,POST,201,121.03,855,192.168.125.139
2024-01-01 03:45:59,/login,GET,500,122.97,917,192.168.152.94
2024-01-01 03:59:10,/logout,GET,500,286.52,62,192.168.223.220
2024-01-01 04:01:57,/api/users,POST,404,93.24,718,192.168.218.210
2024-01-01 04:07:49,/logout,POST,200,43.89,428,192.168.74.169
2024-01-01 04:30:02,/login,POST,200,54.61,274,192.168.178.145
2024-01-01 04:30:19,/api/search,GET,200,236.98,626,192.168.35.251
2024-01-01 04:38:06,/logout,GET,500,29.03,197,192.168.104.213
2024-01-01 04:39:18,/login,GET,404,36.09,302,192.168.26.16
2024-01-01 05:40:33,/login,POST,200,7.91,320,192.168.199.215
2024-01-01 05:51:04,/api/search,POST,201,28.97,86,192.168.39.145
2024-01-01 05:59:10,/api/products,POST,200,241.5,652,192.168.76.200
2024-01-01 05:59:14,/login,GET,201,185.56,142,192.168.15.180
2024-01-01 06:10:32,/logout,GET,200,101.39,271,192.168.217.14
2024-01-01 06:18:19,/login,POST,404,461.59,616,192.168.215.25
2024-01-01 06:31:22,/api/orders,GET,401,281.21,657,192.168.219.233
2024-01-01 06:36:21,/api/products,POST,400,193.06,764,192.168.88.89
2024-01-01 06:51:05,/api/orders,GET,200,254.02,526,192.168.243.219
2024-01-01 07:01:04,/api/search,POST,200,109.59,654,192.168.140.28
2024-01-01 07:05:26,/api/users,GET,200,49.93,959,192.168.110.104
2024-01-01 07:18:13,/login,DELETE,200,87.41,873,192.168.147.172
2024-01-01 07:18:36,/login,GET,200,47.39,15,192.168.166.170
2024-01-01 07:24:59,/logout,POST,403,65.46,241,192.168.127.87
2024-01-01 07:32:39,/login,POST,200,44.85,350,192.168.104.183
2024-01-01 07:33:08,/api/products,GET,500,18.23,312,192.168.237.184
2024-01-01 07:40:44,/health,GET,200,225.32,498,192.168.24.202
2024-01-01 07:42:51,/api/search,GET,200,78.32,529,192.168.173.12
2024-01-01 07:53:46,/api/search,DELETE,200,173.33,173,192.168.152.129
2024-01-01 08:03:09,/api/users,POST,200,83.89,798,192.168.244.103
2024-01-01 08:04:56,/api/search,POST,200,0.67,296,192.168.76.32
2024-01-01 08:07:17,/api/users,POST,400,98.84,461,192.168.205.21
2024-01-01 08:23:08,/api/orders,GET,200,146.37,208,192.168.45.197
2024-01-01 08:24:12,/login,GET,200,38.55,705,192.168.180.169
2024-01-01 08:31:58,/api/orders,POST,200,2.78,140,192.168.192.151
2024-01-01 08:42:15,/login,POST,200,9.52,780,192.168.47.78
2024-01-01 08:48:08,/api/search,GET,200,29.55,795,192.168.75.237
2024-01-01 08:58:06,/api/products,GET,200,96.02,659,192.168.120.222
2024-01-01 09:12:56,/api/products,POST,200,177.92,386,192.168.81.205
2024-01-01 09:25:21,/api/users,PUT,200,1.02,856,192.168.133.72
2024-01-01 09:46:13,/api/products,DELETE,404,115.55,249,192.168.44.172
2024-01-01 10:01:21,/api/orders,GET,200,14.74,916,192.168.167.126
2024-01-01 10:04:11,/health,GET,200,264.01,16,192.168.233.49
2024-01-01 10:14:14,/api/search,POST,200,97.22,877,192.168.63.120
2024-01-01 10:17:53,/login,DELETE,403,456.89,484,192.168.80.20
2024-01-01 10:26:20,/api/search,GET,201,31.65,541,192.168.14.130
2024-01-01 10:26:42,/logout,GET,201,90.22,78,192.168.229.207
2024-01-01 10:27:34,/api/users,PUT,200,73.97,40,192.168.34.8
2024-01-01 10:30:14,/api/users,GET,201,132.55,901,192.168.222.27
2024-01-01 10:34:53,/api/search,GET,401,98.81,22,192.168.122.116
2024-01-01 10:38:05,/api/search,POST,200,91.8,233,192.168.17.21
2024-01-01 10:42:12,/logout,GET,200,350.32,632,192.168.220.201
2024-01-01 10:51:30,/api/search,GET,200,94.11,823,192.168.177.194
2024-01-01 11:08:24,/logout,POST,200,109.57,305,192.168.159.154
2024-01-01 11:16:49,/login,DELETE,201,143.32,104,192.168.2.41
2024-01-01 11:18:02,/api/users,DELETE,200,6.8,395,192.168.105.47
2024-01-01 11:25:13,/api/users,POST,201,208.28,636,192.168.146.130
2024-01-01 11:38:14,/api/users,DELETE,200,124.24,124,192.168.122.111
2024-01-01 12:00:10,/api/users,GET,200,230.11,532,192.168.216.109
2024-01-01 12:22:33,/logout,GET,200,75.56,63,192.168.207.24
2024-01-01 12:38:14,/login,POST,200,0.53,604,192.168.192.34
2024-01-01 13:01:37,/health,GET,200,163.13,991,192.168.114.158
